Core_Academic_Spaces	ROOM TYPE	Existing_Room_NFA	Existing_#_Rooms	Existing_Area_Totals	Proposed_Keep_Room_NFA	Proposed_Keep_#_Rooms	Proposed_Keep_Area_Totals	Proposed_New_Room_NFA	Proposed_New_#_Rooms	Proposed_New_Area_Totals	Totals_Proposed_ROOMNFA	Totals_Proposed_#_OF_RMS	Totals_Proposed_Area_Totals	Guideline_Room_NFA	Guideline_#_Rooms	Guideline_Area_Totals	Comments
Core Academic Spaces	List classrooms of different sizes separately	0	0	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]	0	0	=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]				
Core Academic Spaces	Classroom - General 	850	15	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]	850	15	=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]	850	220	=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	850	"=IF(ROUNDUP((P6)/Academic_Section_Size!G3/(Instruction_Cycles!B5/Instruction_Cycles!B4),0)-P6-P14-P21-P22<0,1,ROUNDUP((Enrollment_SQF[Total Enrollment])/Academic_Section_Size!G3/(Instruction_Cycles!B5/Instruction_Cycles!B4),0)-P6-P14-P21-P22)"	=P3*O3	825 SF min - 950 SF max
Core Academic Spaces	Teacher Planning	100	312	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]	81	57	=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]	19	57	=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	100	=P3	=P4*O4	
Core Academic Spaces	Small Group Seminar (20-30 seats)	36	8	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]	5	20	=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]	25	10	=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	500	"=ROUNDUP(Q72/500,0)"	=P5*O5	
Core Academic Spaces	Science Classroom / Lab	1440	2	=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]	1440	2	=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]	1440	11	=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	1440	"=ROUNDUP(((Enrollment_SQF[Total Enrollment]/Academic_Section_Size!G6/(Instruction_Cycles!B5/Instruction_Cycles!B4)))*(Instruction_Cycles!B2/Instruction_Cycles!B3),0)"	=P6*O6	3 x85% ut=20 Seats-1 per /day/student 
Core Academic Spaces	Prep Room			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	200	"=ROUNDUP(P6/2,0)"	=P7*O7	
Core Academic Spaces	Central Chemical Storage Rm			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	200	1	=P8*O8	
Special Education	List classrooms of different sizes separately			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]				
Special Education	Self-Contained SPED			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	950	"=ROUNDUP(Special_Education_Student_Input!B2/Special_Education_Student_Input!B3,0)"	=P10*O10	assumed 8% of pop. in self-contained SPED
Special Education	Self-Contained SPED Toilet			=[@[Existing_Room_NFA]]*[@[Existing_'#_Rooms]]			=[@[Proposed_Keep_Room_NFA]]*[@[Proposed_Keep_'#_Rooms]]			=[@[Proposed_New_Room_NFA]]*[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Room_NFA]]+[@[Proposed_New_Room_NFA]]	=[@[Proposed_Keep_'#_Rooms]]+[@[Proposed_New_'#_Rooms]]	=[@[Proposed_Keep_Area_Totals]]+[@[Proposed_New_Area_Totals]]	60	=P10	=P11*O11	
